step,loss,grad_norm,learning_rate,num_tokens,completions/mean_length,completions/min_length,completions/max_length,completions/clipped_ratio,completions/mean_terminated_length,completions/min_terminated_length,completions/max_terminated_length,rewards/reward_format/mean,rewards/reward_format/std,rewards/reward_env_step/mean,rewards/reward_env_step/std,rewards/reward_mode_match/mean,rewards/reward_mode_match/std,rewards/reward_anti_spam/mean,rewards/reward_anti_spam/std,rewards/reward_fuel_discipline/mean,rewards/reward_fuel_discipline/std,reward,reward_std,kl,clip_ratio/low_mean,clip_ratio/low_min,clip_ratio/high_mean,clip_ratio/high_max,clip_ratio/region_mean,epoch
2,0.1333,0.08066999167203903,5.555555555555555e-07,4436.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.5881484746932983,0.4475877732038498,0.5,0.0,-0.02500000037252903,0.08660253882408142,0.0,0.0,2.0631483793258667,0.006115085911005735,3.3314653635025024,0.0,0.0,0.0,0.0,0.0,0.031496062992125984
4,0.1504,0.9715451598167419,1.6666666666666667e-06,9108.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.23334088176488876,0.07123795617371798,0.5,0.0,-0.22500000149011612,0.2626388445496559,0.0,0.0,1.508340835571289,0.06131481472402811,3.7595527172088623,0.0,0.0,0.0,0.0,0.0,0.06299212598425197
6,0.1328,0.04190170019865036,2.7777777777777783e-06,13847.0,27.875,27.5,28.0,0.0,27.875,27.5,28.0,1.0,0.0,0.7956500053405762,0.23596304655075073,0.5,0.0,-0.39375002682209015,0.27513885498046875,0.0,0.0,1.9018999338150024,0.06187184900045395,3.3204315304756165,0.0,0.0,0.0,0.0,0.0,0.09448818897637795
8,0.1352,1.2114976644515991,3.88888888888889e-06,18569.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.6975194811820984,0.3108716830611229,0.5,0.0,-0.18750000558793545,0.10103630274534225,0.0,0.0,2.010019540786743,0.001692448859103024,3.378991276025772,0.0,0.0,0.0,0.0,0.0,0.12598425196850394
10,0.1371,1.3612542152404785,5e-06,23416.0,28.875,27.5,30.0,0.0,28.875,27.5,30.0,1.0,0.0,0.7797956168651581,0.254356199875474,0.4000000059604645,0.20000000298023224,-0.02500000037252903,0.08660253882408142,0.01875000074505806,0.03750000521540642,2.1735455989837646,0.12057669600471854,3.428824543952942,0.0,0.0,0.0,0.0,0.0,0.15748031496062992
12,0.1352,0.8812265992164612,4.999417270640899e-06,28098.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.47942113876342773,0.12522844970226288,0.5,0.0,-0.2750000059604645,0.37527769804000854,0.0,0.0,1.7044211626052856,0.006322406581602991,3.3793951272964478,0.0,0.0,0.0,0.0,0.0,0.1889763779527559
14,0.1482,0.09556111693382263,4.997669354222402e-06,32874.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.44925162196159363,0.3631848841905594,0.5,0.0,-0.3125000149011612,0.3444295823574066,0.0,0.0,1.6367515325546265,0.046055104583501816,3.70490300655365,0.0,0.0,0.0,0.0,0.0,0.2204724409448819
16,0.15,0.11435718834400177,4.99475706559428e-06,37352.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.47075824439525604,0.3569822162389755,0.5,0.0,-0.11250000260770321,0.18763884902000427,0.0,0.0,1.8582582473754883,0.0019887411035597324,3.750394344329834,0.0,0.0,0.0,0.0,0.0,0.25196850393700787
18,0.1101,0.05757880210876465,4.9906817624174e-06,42053.0,27.125,27.0,27.5,0.0,27.125,27.0,27.5,1.0,0.0,0.7956500053405762,0.23596304655075073,0.5,0.0,-0.17500000074505806,0.08660253882408142,0.0,0.0,2.120650053024292,0.0,2.7535260915756226,0.0,0.0,0.0,0.0,0.0,0.28346456692913385
20,0.1417,1.4060529470443726,4.985445344530811e-06,46838.0,28.125,28.0,28.5,0.0,28.125,28.0,28.5,1.0,0.0,0.7275897562503815,0.3145597577095032,0.5,0.0,-0.10625000856816769,0.13287684321403503,0.01875000074505806,0.03750000521540642,2.140089750289917,0.08927467197645456,3.5422953367233276,0.0,0.0,0.0,0.0,0.0,0.31496062992125984
22,0.1305,1.300031065940857,4.979050253066064e-06,51641.0,28.625,28.0,29.0,0.0,28.625,28.0,29.0,1.0,0.0,0.5876874923706055,0.47615039348602295,0.5,0.0,-0.3500000089406967,0.2886751517653465,0.03750000149011612,0.04330126941204071,1.7751875519752502,0.00433103134855628,3.263104498386383,0.0,0.0,0.0,0.0,0.0,0.3464566929133858
24,0.1312,1.7396293878555298,4.971499469309197e-06,56421.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.6252250075340271,0.04014977067708969,0.5,0.0,-0.25,0.0,0.0,0.0,1.875225007534027,0.005642367526888847,3.2807911932468414,0.0,0.0,0.0,0.0,0.0,0.3779527559055118
26,0.135,0.04780276492238045,4.962796513310917e-06,61231.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.7981249988079071,0.23314021527767181,0.5,0.0,-0.17500000074505806,0.08660253882408142,0.0,0.0,2.1231250762939453,0.003500169375911355,3.37480428814888,0.0,0.0,0.0,0.0,0.0,0.4094488188976378
28,0.1393,0.09385110437870026,4.952945442245598e-06,66061.0,28.25,28.0,29.0,0.0,28.25,28.0,29.0,1.0,0.0,0.7984375059604645,0.23274433612823486,0.5,0.0,-0.2187500037252903,0.1741025447845459,0.0,0.0,2.079687476158142,0.06187184900045395,3.482512414455414,0.0,0.0,0.0,0.0,0.0,0.4409448818897638
30,0.1408,0.06667206436395645,4.9419508485199045e-06,70867.0,28.25,27.0,29.0,0.0,28.25,27.0,29.0,1.0,0.0,0.9048500061035156,0.10986975580453873,0.5,0.0,-0.1437500026077032,0.08750000596046448,0.0,0.0,2.2610999941825867,0.06187184900045395,3.5201203525066376,0.0,0.0,0.0,0.0,0.0,0.47244094488188976
32,0.1435,1.0873395204544067,4.92981785763188e-06,75551.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.3696388676762581,0.3245037868618965,0.5,0.0,-0.18750000558793545,0.10103630274534225,0.0,0.0,1.6821388006210327,0.0010265286546200514,3.58758082985878,0.0,0.0,0.0,0.0,0.0,0.5039370078740157
34,0.1489,0.038446761667728424,4.916552125781529e-06,80295.0,28.25,28.0,29.0,0.0,28.25,28.0,29.0,1.0,0.0,0.800599992275238,0.23024728894233704,0.5,0.0,-0.10000000149011612,0.17320507764816284,0.0,0.0,2.200600028038025,0.0,3.7230471670627594,0.0,0.0,0.0,0.0,0.0,0.5354330708661418
36,0.1468,0.06230105832219124,4.9021598372339845e-06,85063.0,28.0,27.0,29.0,0.0,28.0,27.0,29.0,1.0,0.0,0.7523047626018524,0.2860138416290283,0.5,0.0,0.05000000074505806,0.0,0.0,0.0,2.302304744720459,0.0,3.668900191783905,0.0,0.0,0.0,0.0,0.0,0.5669291338582677
38,0.1491,1.2911685705184937,4.886647701436513e-06,89819.0,28.5,28.0,29.0,0.0,28.5,28.0,29.0,1.0,0.0,0.41914498805999756,0.20781366154551506,0.5,0.0,-0.350000012665987,0.08660253882408142,0.0,0.0,1.5691449642181396,0.00433103134855628,3.7267522513866425,0.0,0.0,0.0,0.0,0.0,0.5984251968503937
